,train
3439,"[174, 420, 1267, 836, 706, 1267, 1798, 451, 1448, 1431, 2882, 226, 9566, 1626, 548, 3300, 468, 706, 609, 305, 2570, 505, 802, 2932, 468, 623, 524, 8255, 6610, 2852, 339, 1944, 4401, 670, 1448, 465, 472, 1373, 5622, 611, 1502, 1187, 9070, 2320, 2349, 8867, 7883, 5185, 8685, 305, 1990, 2348, 1638, 4254, 1184, 5622, 1407, 6530, 623, 4507, 5509, 3809, 3344, 619, 634, 723, 623, 517, 321, 5509, 420, 1521, 439, 2881, 619, 330, 505, 16, 169, 3821, 2592, 40, 605, 6329, 840, 4330, 1950, 4628, 4529, 5679, 1731, 420, 1019, 2794, 2852, 891, 4012, 5690, 5726, 839, 2574, 185, 1311, 305, 1021, 808, 7851, 517, 1021, 611, 970, 1681, 272, 619, 1374, 791, 4108, 808, 2732, 224, 6742, 1966, 320, 318, 8974, 1373, 1663, 182, 172]"
3440,"[174, 267, 7745, 440, 942, 805, 204, 991, 1028, 1811, 5058, 276, 1069, 195, 3373, 422, 440, 192, 183, 2571, 405, 273, 2715, 422, 7304, 8252, 2918, 464, 1947, 1816, 422, 2921, 6937, 403, 447, 5758, 5621, 1272, 289, 5339, 467, 897, 7302, 4019, 1974, 1800, 183, 768, 6406, 1294, 275, 183, 4179, 3588, 2163, 6948, 3243, 276, 2308, 459, 3243, 2163, 5621, 288, 267, 1235, 186, 2478, 459, 8357, 2900, 2869, 2667, 64, 605, 9049, 4068, 407, 3546, 5484, 5327, 1066, 267, 875, 1709, 1947, 899, 73, 292, 5283, 421, 404, 979, 1143, 161, 942, 3482, 8256, 276, 1450, 464, 461, 845, 307, 459, 1159, 201, 191, 194, 801, 816, 196, 6747, 9997, 302, 459, 438, 9376, 8814]"
3441,"[174, 3437, 2778, 447, 223, 4321, 205, 225, 69, 1858, 5623, 4083, 313, 1104, 196, 1163, 592, 447, 198, 4717, 7389, 277, 1040, 871, 7309, 8239, 7459, 302, 837, 871, 2908, 180, 3120, 5048, 2674, 5652, 1592, 290, 5306, 448, 898, 2131, 303, 292, 1975, 1802, 223, 769, 6152, 161, 278, 1229, 718, 3589, 304, 1281, 622, 3181, 313, 322, 4169, 3181, 2134, 5652, 302, 307, 1527, 194, 3944, 691, 6918, 2907, 3761, 4022, 76, 605, 9217, 4322, 436, 3545, 442, 4228, 585, 1075, 307, 1029, 74, 8952, 3224, 150, 85, 292, 438, 7611, 405, 8154, 1355, 223, 620, 832, 7816, 313, 620, 7376, 194, 635, 2198, 2197, 202, 1489, 832, 817, 1976, 5952, 3368, 6745, 498, 9978, 209, 820]"
3442,"[1357, 997, 1532, 2298, 521, 1532, 2966, 550, 6464, 3429, 997, 560, 1225, 7207, 1560, 140, 1843, 658, 39, 683, 4324, 726, 3100, 1436, 335, 854, 6350, 6244, 878, 3331, 9842, 641, 148, 2898, 854, 3618, 9631, 2607, 2015, 3423, 793, 444, 1247, 46, 7968, 9578, 7251, 901, 2022, 350, 252, 708, 7890, 39, 417, 40, 335, 176, 23, 1046, 2116, 6173, 997, 444, 350, 3009, 492, 683, 148, 35, 1055, 1718, 148, 3222, 1436, 650, 237, 1718, 4932, 683, 148, 35, 560, 1247, 33, 4932, 492, 1257, 1046, 650, 361, 1462, 350, 1131, 6486, 3859, 3962, 1401, 35, 3671, 6573, 594, 4688, 3307, 38, 1904, 4166, 38, 1156, 560, 1302, 542, 2656, 332, 2024, 708, 4430, 650, 2068, 483, 4324, 1394, 40, 1532, 829, 38, 7796, 5300, 1957, 1988, 252, 1620, 47, 3636, 8200, 4536, 2223, 3597, 2466, 4703, 1046, 357, 8571, 3423, 140, 1911, 219, 1037]"
3443,"[1357, 998, 1534, 2300, 522, 1534, 2968, 552, 6466, 3430, 998, 561, 1227, 7208, 1561, 142, 1844, 660, 39, 684, 4326, 727, 3101, 1437, 337, 855, 6351, 6245, 880, 3332, 9843, 643, 149, 2899, 855, 3619, 9633, 2609, 2017, 3424, 795, 446, 1248, 46, 7969, 9579, 7254, 902, 2028, 351, 254, 710, 7891, 39, 418, 40, 337, 178, 23, 1048, 2118, 6175, 998, 446, 351, 3011, 493, 684, 149, 35, 1056, 1720, 149, 3223, 1437, 651, 239, 1720, 4933, 684, 149, 35, 561, 1248, 33, 4933, 493, 1258, 1048, 651, 362, 1464, 351, 1132, 6489, 3865, 3968, 1404, 35, 3673, 6575, 596, 4689, 3308, 38, 1905, 4168, 38, 1157, 561, 1304, 544, 2657, 333, 2030, 710, 4431, 651, 2070, 484, 4326, 1396, 40, 1534, 831, 38, 7797, 5301, 1959, 1989, 254, 1621, 47, 3637, 8202, 4538, 2226, 3599, 2467, 4704, 1048, 359, 8572, 3424, 142, 1912, 221, 1039]"
3444,"[174, 1133, 4504, 189, 2283, 453, 3780, 295, 1078, 5290, 314, 4464, 353, 1167, 323, 306, 7982, 2758, 437, 6552, 1015, 1024, 133, 6594, 4178, 4310, 204, 2064, 775, 5770, 429, 437, 922, 3650, 1293, 9997, 3709, 431, 2706, 2822, 2553, 62, 605, 6400, 8025, 6709, 9937, 5830, 3709, 314, 5248, 323, 202, 2357, 471, 1142, 275, 3709, 273, 401, 306, 296, 4081, 289, 267, 449, 295, 3509, 3375, 6608, 915, 2291, 768, 1586, 496, 407, 9452, 1024, 429, 456, 2194, 3106, 193, 421, 456, 2821, 2546, 2665, 8742, 1133, 296, 4393, 6097, 1111, 9524, 2283, 4464, 314, 1234, 2926, 1024, 8913, 317, 462, 8865, 3285, 4828, 2201, 421, 437, 9801]"
3445,"[1978, 2245, 1915, 6036, 476, 909, 4150, 514, 2521, 8466, 885, 7028, 31, 625, 1349, 625, 354, 782, 4439, 373, 510, 2097, 1301, 1392, 2301, 39, 7746, 39, 9201, 1144, 2168, 175, 1653, 599, 50, 4312, 909, 53, 1349, 1659, 1005, 57, 606, 3862, 5480, 424, 62, 1402, 42, 2830, 8040, 640, 373, 284, 1286, 3755, 5808, 9311, 503, 538, 1980, 3531, 2232, 1150, 5808, 42, 782, 43, 373, 8064, 39, 329, 408, 514, 7628, 2493, 514, 7118, 3055, 2577, 175, 45, 308, 661, 54, 918, 1545, 1679, 5953, 2295, 2168, 554, 38, 657, 48, 640, 4604, 3030, 9244, 43, 2245, 823, 52, 568, 9027, 48, 1659, 2328, 3876, 373, 1571, 486, 1237, 625, 408, 2020, 514, 476, 534, 7364, 8933, 4789, 2045, 852, 50, 758, 3503, 1036]"
3446,"[1978, 2249, 1917, 6035, 478, 910, 4151, 513, 2522, 8468, 886, 7030, 31, 631, 1389, 631, 360, 781, 4440, 376, 509, 2099, 1303, 1410, 2303, 39, 7748, 39, 9202, 1146, 2141, 177, 1677, 601, 50, 4311, 910, 53, 1389, 1661, 1006, 57, 604, 3864, 5481, 425, 62, 1403, 42, 2832, 8044, 638, 376, 286, 1284, 3754, 5810, 9898, 502, 537, 1981, 3521, 2234, 1181, 5810, 42, 781, 43, 376, 8065, 39, 331, 7342, 7629, 2593, 513, 7120, 3057, 2518, 177, 45, 310, 663, 54, 917, 1546, 1688, 5399, 2294, 2141, 556, 38, 659, 48, 638, 4606, 3031, 9245, 43, 2249, 824, 52, 567, 9029, 48, 1661, 2327, 3875, 376, 1573, 488, 1268, 631, 411, 2026, 513, 478, 7670, 360, 8432, 4897, 2044, 853, 50, 757, 3505, 1038]"
3447,"[174, 1442, 857, 694, 320, 3132, 473, 4588, 450, 1080, 8446, 395, 6946, 750, 1604, 523, 353, 289, 400, 4502, 497, 1447, 7775, 1023, 133, 6595, 4192, 4625, 210, 2084, 774, 3726, 428, 497, 1344, 3649, 1330, 451, 189, 4043, 430, 5570, 2820, 2546, 50, 605, 6428, 8024, 4490, 9919, 6249, 4043, 395, 5078, 523, 201, 2352, 470, 1731, 372, 4043, 330, 400, 353, 295, 4079, 396, 272, 452, 450, 4042, 3442, 6609, 916, 2290, 767, 1616, 495, 410, 2259, 1023, 428, 524, 2289, 3097, 363, 468, 524, 3151, 2706, 2707, 8731, 1442, 295, 4392, 6099, 1112, 9527, 353, 2259, 8904, 1521, 6737, 1023, 8912, 326, 461, 8058, 3281, 7379, 3079, 468, 497, 9802]"
3448,"[174, 1134, 3802, 188, 2688, 454, 3652, 296, 1087, 5291, 316, 7280, 306, 1168, 312, 319, 7995, 3379, 442, 6551, 1070, 1222, 133, 6593, 4726, 5111, 205, 2066, 776, 4711, 432, 442, 921, 6714, 1370, 3368, 3033, 506, 2546, 3577, 4021, 74, 605, 7256, 6657, 1945, 70, 553, 3258, 3033, 316, 4969, 312, 211, 3319, 636, 1066, 278, 3033, 277, 402, 319, 325, 4156, 290, 307, 485, 296, 3024, 3374, 6611, 1213, 2624, 769, 1449, 617, 436, 2184, 1222, 432, 457, 2196, 3109, 191, 4109, 2823, 2553, 3107, 8751, 1134, 7005, 460, 6098, 1099, 485, 506, 319, 2184, 432, 316, 1235, 2928, 1222, 591, 296, 327, 529, 9444, 3358, 4822, 2200, 422, 442, 9799]"
3449,"[174, 603, 2347, 477, 208, 2519, 903, 3660, 325, 733, 671, 2611, 6470, 610, 319, 1288, 315, 3536, 815, 7318, 612, 6558, 1482, 2502, 133, 6585, 4242, 442, 5769, 5211, 151, 200, 70, 610, 612, 1581, 903, 2275, 6160, 1011, 1186, 2553, 6143, 82, 169, 86, 605, 1608, 263, 2172, 1803, 2286, 291, 553, 9534, 79, 1011, 1712, 1796, 315, 2159, 5717, 1075, 5265, 1011, 379, 1849, 2286, 8077, 8748, 1406, 2761, 903, 3438, 6602, 1797, 5401, 151, 721, 665, 748, 766, 1334, 150, 2359, 591, 74, 163, 3111, 206, 1588, 591, 3834, 4021, 4085, 8759, 7372, 8477, 6090, 1076, 2720, 1186, 433, 1765, 610, 364, 1527, 322, 2253, 150, 1803, 325, 70, 1774, 3938, 8449, 4824, 2306, 1588, 612, 9797]"
3450,"[1978, 2247, 1916, 6037, 479, 911, 4152, 515, 2523, 8467, 887, 7031, 31, 632, 1390, 632, 361, 783, 4441, 377, 511, 2098, 1302, 1409, 2302, 39, 7747, 39, 9203, 1145, 2167, 176, 1654, 600, 50, 4313, 911, 53, 1390, 1660, 1007, 57, 607, 3860, 5479, 423, 62, 1401, 42, 2831, 8043, 642, 377, 285, 1285, 3756, 5812, 9899, 507, 539, 1982, 3529, 2233, 1182, 5812, 42, 783, 43, 377, 8068, 39, 332, 7344, 7630, 2494, 515, 7119, 3056, 2576, 176, 45, 309, 662, 54, 919, 1547, 1686, 5398, 2296, 2167, 555, 38, 658, 48, 642, 4602, 3029, 9243, 43, 2247, 825, 52, 569, 9028, 48, 1660, 2329, 3877, 377, 1572, 492, 1269, 632, 413, 2023, 515, 479, 7671, 361, 8935, 4898, 2046, 854, 50, 759, 3504, 1037]"
3451,"[1978, 2251, 1918, 6038, 480, 912, 4153, 516, 2524, 8469, 888, 7032, 31, 633, 1391, 633, 362, 784, 4442, 378, 512, 2100, 1304, 1411, 2304, 39, 7749, 39, 9204, 1147, 2169, 178, 1655, 602, 50, 4314, 912, 53, 1391, 1662, 1008, 57, 608, 3866, 5482, 426, 62, 1404, 42, 2833, 8045, 644, 378, 287, 1287, 3757, 5813, 9900, 508, 540, 1983, 3533, 2235, 1183, 5813, 42, 784, 43, 378, 8069, 39, 333, 7346, 7631, 2495, 516, 7121, 3058, 2578, 178, 45, 311, 664, 54, 920, 1548, 1690, 5400, 2297, 2169, 557, 38, 660, 48, 644, 4608, 3032, 9246, 43, 2251, 826, 52, 570, 9030, 48, 1662, 2330, 3878, 378, 1574, 493, 1270, 633, 414, 2029, 516, 480, 7672, 362, 8937, 4899, 2047, 855, 50, 760, 3506, 1039]"
3452,"[174, 226, 1786, 438, 5980, 953, 4179, 407, 185, 3121, 429, 404, 4178, 8181, 276, 1935, 275, 3183, 289, 192, 2064, 5800, 986, 2884, 955, 186, 1313, 980, 181, 768, 2470, 4569, 472, 1785, 4940, 3021, 8787, 288, 1073, 201, 1058, 800, 3584, 8785, 279, 448, 210, 288, 458, 441, 2269, 1382, 212, 6938, 1800, 1974, 4709, 2064, 421, 461, 5872, 399, 321, 192, 1939, 458, 9727, 279, 4012, 1785, 2063, 2050, 272, 5984, 330, 8592, 4410, 897, 47, 1010, 2335, 8874, 2335, 1939, 2170, 289, 2676, 293, 1069, 2031, 1927, 397, 399, 264, 4940, 440, 321, 4173, 367, 326, 267, 2052, 1953, 293, 2064, 1801, 367, 1162, 951, 4081, 317, 9121, 9219, 1019, 4404, 56, 1010, 4097, 316, 367, 440, 224, 276, 7292, 288, 466, 2405, 4160, 314, 1123, 1766, 288, 3841, 404, 2399, 475, 5674, 898, 58, 1010, 2373, 5910, 979, 397, 6034, 979, 429, 1526, 330, 197, 4569, 711, 320, 197, 5960, 1019, 4404, 56, 1010, 226, 1786, 438, 5980, 7471, 4385, 319, 435, 4173, 1125, 199, 2722, 435, 2482, 6682, 805, 4632, 875, 2909, 2746, 805, 6682, 6025, 7471, 5712, 5926, 5558, 7341, 1799, 198, 403, 272, 405, 2677, 429, 306, 1398, 924, 397, 399, 3378, 2064, 453, 3971, 192, 4796, 5982, 185, 8377, 276, 1293, 3777, 188, 407, 3179, 466, 317, 2356, 466, 279, 407, 192, 4154, 9864, 2051, 7200, 2063, 846, 404, 1234, 9846, 6909]"
3453,"[2673, 280, 1427, 1646, 534, 4850, 730, 6645, 4098, 599, 47, 510, 3038, 37, 1232, 346, 5086, 40, 476, 329, 510, 2773, 2485, 1822, 6036, 599, 2956, 3670, 1393, 37, 4323, 5862, 549, 7324, 3903, 995, 329, 599, 3906, 4617, 6192, 2954, 1233, 1540, 828, 42, 356, 1214, 8456, 538, 356, 8570, 1793, 877, 7587, 5126, 852, 2394, 3574, 3311, 354, 2804, 3425, 1793, 1224, 2956, 558, 280, 4056, 2964, 4946, 558, 329, 707, 4435, 476, 419, 3827, 37, 648, 476, 2964, 648, 419, 7892, 35, 4935, 2019, 1189, 554, 132, 3906, 280, 2360, 3201, 280, 2804, 1822, 510, 4484, 4255, 9067, 340, 2081, 9366, 758, 8830, 51, 5516, 354, 730, 2782, 409, 419, 4921, 4255, 2081, 2485, 1822, 1237, 1679, 707, 7905, 9515, 51, 909, 2956, 4647, 2489, 132, 32, 5234, 730, 51, 639, 280, 329, 862, 45, 2762, 648, 2513, 3275, 1228, 381, 45, 2934, 47, 1646, 593, 9902, 1135, 1151, 3347, 132, 7893, 7785, 218, 593, 4551, 7008, 599, 32, 2203, 7686, 541, 28, 1851, 2641, 6255, 4647, 2489, 132, 32, 280, 1427, 1646, 534, 4850, 743, 2999, 408, 862, 5738, 409, 4290, 7576, 862, 53, 409, 640, 3173, 9017, 1149, 1282, 3042, 40, 1746, 904, 43, 3173, 8958, 4850, 7385, 5700, 9890, 796, 6635, 1510, 4208, 2081, 384, 482, 573, 6215, 823, 43, 354, 4294, 443, 593, 49, 510, 1414, 2939, 1822, 526, 558, 230, 707, 7519, 482, 334, 341, 1119, 375, 1228, 476, 2310, 5846, 375, 4133, 3255, 673, 341, 4622, 707, 30, 328, 2906, 32, 328, 3003, 35, 2115, 737, 4946, 164, 35, 1550, 1109, 1484]"
3454,"[2673, 282, 1428, 1645, 536, 4849, 729, 6644, 4039, 601, 47, 509, 3039, 37, 1256, 349, 5088, 40, 478, 331, 509, 2774, 2446, 1826, 6035, 601, 2955, 3672, 1395, 37, 4325, 5864, 551, 7022, 3902, 996, 331, 601, 3907, 4616, 6193, 3282, 1339, 1542, 830, 42, 358, 1215, 8455, 537, 358, 9104, 1792, 879, 7589, 5128, 853, 2093, 2432, 3460, 360, 2610, 3471, 1792, 1226, 2955, 559, 282, 3953, 3010, 5601, 559, 331, 709, 4436, 478, 352, 3911, 37, 649, 478, 3010, 649, 352, 7885, 35, 4937, 2025, 1191, 556, 132, 3907, 282, 2363, 3200, 282, 2610, 1826, 509, 4487, 4256, 9071, 343, 2039, 8312, 757, 8344, 51, 5514, 360, 729, 2783, 412, 352, 3915, 4256, 2039, 2446, 1826, 1268, 1688, 709, 46, 8014, 2130, 51, 910, 2955, 4649, 2491, 132, 32, 5236, 729, 51, 637, 282, 331, 863, 45, 2764, 649, 2514, 3314, 1264, 374, 45, 2935, 47, 1645, 595, 9901, 1140, 1178, 3349, 132, 7894, 7787, 220, 595, 4550, 7009, 601, 32, 2565, 7689, 543, 28, 1850, 2643, 6257, 4649, 2491, 132, 32, 282, 1428, 1645, 536, 4849, 745, 3158, 411, 863, 47, 6730, 4372, 7578, 863, 53, 412, 638, 3176, 9019, 1153, 1297, 3044, 40, 1748, 906, 43, 3176, 8960, 4849, 7387, 5702, 9892, 798, 6636, 1512, 4207, 2039, 386, 481, 571, 6213, 824, 43, 360, 4296, 445, 595, 49, 509, 1415, 2801, 1826, 525, 559, 232, 709, 7520, 481, 336, 342, 1118, 383, 1264, 478, 2311, 5845, 383, 4132, 3080, 672, 342, 4621, 709, 30, 389, 352, 32, 476, 352, 35, 2117, 736, 5601, 166, 35, 1552, 1115, 1486]"
3455,"[174, 609, 1787, 441, 5776, 955, 4177, 410, 4592, 182, 428, 505, 4192, 2083, 517, 293, 1934, 372, 3516, 396, 226, 2084, 5799, 1613, 2883, 3142, 190, 1311, 2574, 185, 767, 3199, 4570, 706, 2882, 185, 5648, 3609, 8221, 318, 1162, 294, 1060, 808, 249, 1815, 410, 321, 467, 451, 318, 8974, 2408, 1597, 6755, 1944, 1860, 2062, 4745, 2084, 468, 566, 1663, 611, 465, 623, 226, 2192, 619, 4142, 1184, 321, 7883, 2882, 2705, 3046, 420, 330, 1376, 802, 3746, 5185, 1650, 1447, 1113, 35, 1010, 3344, 1407, 711, 3344, 2192, 2318, 396, 3016, 517, 1122, 2088, 1924, 406, 465, 676, 185, 5483, 4062, 6178, 589, 272, 2050, 1951, 517, 2084, 1799, 366, 2083, 1447, 4079, 326, 9120, 9218, 2148, 4410, 44, 1010, 4211, 314, 366, 472, 548, 293, 8351, 318, 475, 2881, 4159, 395, 1526, 4788, 318, 3923, 505, 2400, 694, 5881, 897, 46, 1010, 2377, 4673, 980, 406, 5535, 980, 428, 3213, 802, 264, 4570, 2320, 974, 264, 7947, 2148, 4410, 44, 1010, 609, 1787, 441, 5776, 7472, 3653, 306, 434, 4298, 1123, 212, 2721, 434, 2481, 6696, 803, 4644, 874, 2903, 2759, 803, 6696, 6023, 7472, 5713, 5927, 5559, 7084, 3089, 192, 399, 420, 404, 2932, 428, 353, 1777, 1267, 406, 465, 3858, 2084, 473, 3809, 226, 4795, 6743, 339, 9463, 293, 1330, 4831, 189, 410, 3339, 475, 326, 2621, 475, 321, 410, 226, 6890, 18, 324, 2288, 20, 324, 2705, 1681, 505, 1521, 3087, 1650, 1019, 7529]"
3456,"[174, 192, 8372, 498, 6184, 1089, 5045, 436, 1816, 223, 432, 405, 4726, 1073, 4575, 1936, 278, 3185, 290, 198, 2066, 1913, 399, 985, 432, 403, 953, 194, 1535, 979, 184, 769, 2559, 1992, 440, 1811, 6671, 3022, 8789, 302, 1074, 202, 1098, 801, 3621, 184, 436, 304, 460, 204, 302, 459, 438, 2268, 1384, 199, 180, 1877, 1802, 1975, 1885, 2066, 422, 462, 5676, 403, 4104, 1940, 459, 9668, 304, 4019, 1811, 2065, 2052, 267, 5986, 273, 8594, 4404, 898, 59, 1010, 2308, 7027, 2308, 1940, 2187, 290, 2678, 276, 1104, 2181, 1941, 398, 403, 197, 6671, 447, 3779, 3832, 7001, 2054, 1955, 276, 2066, 2273, 1913, 1073, 948, 4156, 327, 9122, 322, 4614, 874, 4405, 68, 1010, 3626, 8304, 447, 195, 313, 6381, 302, 477, 2478, 1503, 316, 1125, 1759, 302, 1467, 405, 2367, 466, 5675, 1031, 70, 1010, 3546, 2640, 999, 398, 6738, 999, 432, 1123, 273, 203, 1992, 467, 189, 203, 3632, 874, 4405, 68, 1010, 192, 8372, 498, 6184, 7430, 3077, 8752, 313, 322, 1333, 200, 355, 8752, 2483, 203, 208, 5515, 4633, 1029, 2911, 1635, 4321, 8332, 4157, 7430, 5698, 5899, 5555, 407, 316, 1801, 620, 143, 49, 838, 2715, 432, 319, 1399, 942, 398, 403, 3846, 2066, 454, 3960, 198, 4797, 5981, 181, 8382, 313, 1370, 3647, 208, 436, 3122, 477, 327, 2358, 477, 304, 436, 198, 4155, 6366, 2053, 6900, 2065, 845, 405, 1235, 9845, 6916]"
3457,"[174, 1954, 994, 1769, 9352, 2145, 8113, 837, 630, 610, 728, 4242, 1074, 1281, 994, 749, 355, 3321, 322, 705, 4089, 403, 208, 67, 8973, 198, 1107, 1355, 8154, 807, 194, 3193, 547, 6024, 1821, 610, 2724, 9080, 1356, 160, 2870, 266, 832, 225, 1356, 2719, 9528, 205, 6745, 498, 1602, 1651, 5059, 871, 1883, 3064, 3815, 6399, 529, 5882, 716, 8367, 9374, 1086, 278, 3317, 292, 5623, 2067, 2054, 307, 4970, 277, 8596, 4405, 1031, 71, 1010, 322, 1503, 460, 322, 666, 6399, 403, 1685, 592, 313, 1780, 667, 630, 4561, 716, 203, 73, 610, 618, 1879, 994, 734, 1880, 504, 168, 4354, 313, 75, 4088, 4089, 1074, 1016, 82, 292, 70, 9542, 2501, 75, 5540, 875, 5691, 80, 1010, 1954, 248, 734, 618, 57, 187, 274, 869, 427, 740, 322, 1725, 547, 364, 1333, 1767, 4744, 8448, 73, 597, 477, 7422, 1914, 82, 1010, 7174, 1163, 1921, 405, 1880, 209, 610, 1125, 277, 1354, 547, 448, 188, 1354, 807, 875, 5691, 80, 1010, 1954, 994, 1769, 9352, 7466, 1481, 518, 869, 3693, 5119, 4925, 518, 869, 9353, 5896, 908, 8162, 2503, 3162, 2780, 908, 5896, 3608, 2326, 7466, 5714, 5928, 7473, 364, 2273, 80, 2040, 307, 1483, 1040, 835, 3536, 161, 1229, 597, 716, 2375, 6146, 4309, 2435, 292, 5994, 184, 70, 1692, 71, 588, 160, 379, 766, 2010, 143, 1413, 1949, 1481, 163, 740, 455, 748, 705, 292, 6373, 2096, 6911, 2067, 1695, 143, 1527, 9844, 6924]"
3458,"[2673, 281, 1429, 1647, 545, 4851, 731, 6646, 4099, 600, 47, 511, 3040, 37, 1257, 350, 5090, 40, 479, 332, 511, 2775, 2484, 1824, 6037, 600, 2957, 3671, 1394, 37, 4324, 5863, 550, 7023, 3904, 997, 332, 600, 3908, 4618, 6194, 3283, 1340, 1541, 829, 42, 357, 1216, 8457, 539, 357, 8571, 1794, 878, 7588, 5127, 854, 2392, 3572, 3312, 361, 2803, 3426, 1794, 1225, 2957, 560, 281, 4055, 3009, 5602, 560, 332, 708, 4437, 479, 417, 3825, 37, 650, 479, 3009, 650, 417, 7890, 35, 4936, 2022, 1190, 555, 132, 3908, 281, 2362, 3202, 281, 2803, 1824, 511, 4488, 4257, 9072, 347, 2080, 8311, 759, 8831, 51, 5517, 361, 731, 2784, 415, 417, 4919, 4257, 2080, 2484, 1824, 1269, 1686, 708, 46, 8015, 2788, 51, 911, 2957, 4648, 2490, 132, 32, 5235, 731, 51, 641, 281, 332, 864, 45, 2765, 650, 2515, 3276, 1265, 380, 45, 2936, 47, 1647, 594, 9903, 1139, 1177, 3348, 132, 7895, 7786, 219, 594, 4552, 7010, 600, 32, 2566, 7691, 542, 28, 1852, 2642, 6256, 4648, 2490, 132, 32, 281, 1429, 1647, 545, 4851, 744, 3159, 413, 864, 47, 6731, 4373, 7577, 864, 53, 415, 642, 3175, 9018, 1152, 1296, 3043, 40, 1747, 905, 43, 3175, 8959, 4851, 7386, 5701, 9891, 797, 6637, 1511, 4209, 2080, 385, 483, 583, 6217, 825, 43, 361, 4295, 444, 594, 49, 511, 1416, 2938, 1824, 527, 560, 231, 708, 7521, 483, 335, 344, 1120, 390, 1265, 479, 2312, 5847, 390, 4134, 3254, 674, 344, 4623, 708, 30, 741, 2904, 32, 741, 3001, 35, 2116, 738, 5602, 165, 35, 1551, 1114, 1485]"
3459,"[2673, 283, 1430, 1648, 546, 4852, 732, 6647, 4100, 602, 47, 512, 3041, 37, 1258, 351, 5092, 40, 480, 333, 512, 2776, 2486, 1828, 6038, 602, 2958, 3673, 1396, 37, 4326, 5865, 552, 7024, 3905, 998, 333, 602, 3909, 4619, 6195, 3284, 1341, 1543, 831, 42, 359, 1217, 8458, 540, 359, 8572, 1795, 880, 7590, 5129, 855, 2393, 3573, 3313, 362, 2805, 3427, 1795, 1227, 2958, 561, 283, 4057, 3011, 5603, 561, 333, 710, 4438, 480, 418, 3826, 37, 651, 480, 3011, 651, 418, 7891, 35, 4938, 2028, 1192, 557, 132, 3909, 283, 2364, 3203, 283, 2805, 1828, 512, 4489, 4258, 9073, 348, 2082, 8314, 760, 8832, 51, 5518, 362, 732, 2785, 416, 418, 4920, 4258, 2082, 2486, 1828, 1270, 1690, 710, 46, 8016, 2789, 51, 912, 2958, 4650, 2492, 132, 32, 5237, 732, 51, 643, 283, 333, 865, 45, 2766, 651, 2516, 3277, 1266, 382, 45, 2937, 47, 1648, 596, 9904, 1141, 1179, 3350, 132, 7896, 7788, 221, 596, 4553, 7011, 602, 32, 2567, 7693, 544, 28, 1853, 2644, 6258, 4650, 2492, 132, 32, 283, 1430, 1648, 546, 4852, 746, 3160, 414, 865, 47, 6732, 4374, 7579, 865, 53, 416, 644, 3177, 9020, 1154, 1298, 3045, 40, 1749, 907, 43, 3177, 8961, 4852, 7388, 5703, 9893, 799, 6638, 1513, 4210, 2082, 387, 484, 584, 6219, 826, 43, 362, 4297, 446, 596, 49, 512, 1417, 2940, 1828, 528, 561, 233, 710, 7522, 484, 337, 345, 1121, 391, 1266, 480, 2313, 5848, 391, 4135, 3256, 675, 345, 4624, 710, 30, 742, 2905, 32, 742, 3002, 35, 2118, 739, 5603, 167, 35, 1553, 1116, 1487]"
3460,"[174, 320, 3777, 458, 2481, 966, 5633, 404, 1194, 5592, 7400, 1085, 1088, 3481, 816, 1901, 2335, 5587, 465, 4991, 1332, 890, 3481, 330, 3740, 4981, 897, 4940, 505, 8320, 438, 1086, 339, 201, 2568, 404, 2953, 2622, 2546, 7229, 249, 295, 4940, 410, 185, 2161, 397, 475, 293, 3740, 5130, 201, 4940, 1549, 4994, 5112, 212, 2352, 5457, 440, 321, 2916, 326, 441, 9457, 1398, 4424, 396, 7141, 694, 330, 9683, 4981, 4779, 1526, 330, 3777, 6749, 279, 3436, 396, 199, 2064, 421, 624, 4735, 499, 326, 7537, 7606, 2050, 320, 3454, 172]"
3461,"[5212, 549, 476, 1618, 3275, 4750, 334, 1618, 47, 7662, 1788, 2101, 334, 657, 42, 1233, 1531, 8125, 1571, 3201, 234, 661, 37, 9746, 1627, 8713, 4535, 7827, 4679, 648, 1135, 599, 3048, 1770, 2014, 8812, 6339, 3099, 424, 37, 4604, 7490, 30, 1598, 329, 599, 42, 482, 549, 5636, 41, 526, 7827, 4251, 885, 8830, 30, 1735, 1045, 3380, 2014, 3394, 3530, 1204, 51, 682, 3519, 34, 558, 1851, 549, 960, 268, 4414, 4562, 1414, 657, 29, 900, 648, 960, 2331, 8079, 2244, 2331, 2203, 648, 6756, 1171, 558, 4493, 1851, 1414, 2804, 2964, 5516, 1204, 5727, 328, 1952, 3827, 27, 3728, 1036]"
